Aplicación,Empresa,Posición ,Fecha,Informacion de contacto,Resultado al momento,url,Bolsas de presencia: ,Detalles,,Junta ARC,
104,Farmacias Benavides,Desarrollador BI,12/12/25,,,https://www.linkedin.com/jobs/search/?currentJobId=4342644172&geoId=92000000&keywords=bio&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&start=50,linkedin,,,4,
105,Data Annotation,Anotación de prompts,15/12/2025,,,https://app.dataannotation.tech/workers/starter_assessment_complete,linkedin,freelance (se tienen que esperar proyectos. ,,4,
106,Mercor,Academic Research Specialist,15/12,,,,linkedin,,,4,
107,Helix and Co,Jr. Data Analyst,15/12,,,https://www.linkedin.com/jobs/search/?currentJobId=4343742504&geoId=92000000&keywords=data&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,linkedin ,,,4,
108,joinrs,Ciencia de Datos,16/12,,,https://www.joinrs.com/es/job-offers/438208/?utm_source=linkedin&utm_medium=job-offer-es&utm_campaign=438208-internal,linkedin ,"Como baires dev, apliqué a una candidatura si tienen puestos afines me contactarán. ",,4,
109,Indi,Power Bi Junior Analyst,16/12/25,Margareth Martins de Almeida,,https://www.linkedin.com/jobs/search/post-apply/default/?currentJobId=4343816631&geoId=92000000&keywords=data&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&postApplyJobId=4343816631&refresh=true&start=75,linkedin,,,4,
110,Toloka AI,Biology Expert AI,16/12,,,https://app.usebraintrust.com/jobs/16455/proposals/1342562/edit/?back=%2Ftalent%2Fdashboard%2Fmy_jobs%2Fmy_proposals,braintrust,,,4,
111,Braintrust,Biology Expert,17/12,,,https://app.usebraintrust.com/talent/dashboard/my_jobs/my_proposals,braintrust,,,4,
112,Pfizer,Data Science Associate,17/12/251,,,https://pfizer.wd1.myworkdayjobs.com/en-US/PfizerCareers/job/Data-Science-Associate_4948239-1,"joinrs, aplicación en el siito de pfizer. ",,,4,
113,E solutions,Full time Data Scientist,17/12/25,Pramod Singh,,https://www.linkedin.com/jobs/view/4344172320/?alternateChannel=search&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=tgOUAZkGBi1pZBgBosAskA%3D%3D&trackingId=UW7vA%2BpxnPoyQ1rYe256gg%3D%3D&trk=d_flagship3_postapply_default_confirmation&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BDXJt0ndCTGmynzRpwGfWvQ%3D%3D,linkedin ,,,4,
114,work vista,Data Analyst,18/12,,,https://www.linkedin.com/jobs/search/?currentJobId=4343888075&geoId=92000000&keywords=data&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&start=175,linkedin - outlier,"took some tests (english 20 minutes, )",,4,
115,Mindrift,Biology Expert with Python ,18/12,,,https://apply.workable.com/toloka-ai/j/B622F0E113/,linkedin-mindrift,,,4,
116,tecnoap,Data Scientist,18/12/25,8127455724; contacto@tecnoap.com,,https://www.tecnoap.com/ads/data-scientist-2/,,,,4,
117,talexa,LLM Biology and Python,22/12/25,,,https://mx.indeed.com/jobs?q=data&l=Nuevo+Le%C3%B3n&from=searchOnDesktopSerp&cf-turnstile-response=0.OZqNfM0bduocTqWQvZhlQKJGCpTBk1bU7Rz_s8I1kHmsw4wOlVffxrD1HSI5usB4naqZRgl_ogzBiiC2-OyUOkPBFPm7nEUShnMN-qlf-6HgpmAffxCIoxd95Hcecste8fHuLYrdsVrmzVyvkgahn2Qtn93gqWFjHpQR7DXiPxzTvoWSu-Ua5fmbcj2Bo0C6NIN-JcrwuAWazd77q4qBhrcyqNFYwJ2yNsW-bnU5csRSM-MTfGwTxNPblGBK5x1_VrgbDRbtAzLvS4u6U2eW1jPGTP2JC0AjKbWuR96BcwdUfd0rVQE3Kb5JmCaYYDF7v-Jtp8ChPjD_33Ua4gvh2MrYIDePp9ZjhoihBpZSc2Q3I0tE34SYp1r0YR2fETYR36iXF33zExbuXzlHWgrP1zB4SYGiPbhbo1t5Kh6iL22Ipv8ViOqkXl7lnQi_UdWLB2BSfhOZvGAPe0ylKhSQ4zhmQTERkYFm3raWtszrWcIp36KWJRVdQPFeZhe8lJ5vVR5UiNu5y89PRyttKy89LpQywd3D4Hu7PG5EE4NDB9pfo5erqtH4cL-liHqCpPs_cL9uzt46_-AzllsHJmT4-hcx5tgUNj6tzWLQbqcMdB_NbkADig-ag_vuKPh6kjOGgFIogCDsssT2johhX3XR-IYfJwROM6lW4CvPj4rdOcC7woTBpNIUFrmNqON1tEINz8ZWtZgdxc3jQB2YpfIjsiD4AtRAeyRJJOF4tYCAy8X9IU710aPtwMCeNKuNKWPcn9Kvo-xMRU_LDr0wy5o3tm4jcCM0tHYtoCSN9a9JkFHbq2mixQsqGUwzCZhEMvzBM9DwGVB4koQx2kAv9PVozcsINodY1VYxRxH2Za78m4QXxRN6M5Tr1gaqNzRi4RG9DoiNg01TiWIR-b0CnlFUM9mnwPYPYx5KPzL-A6hNJJgfS2Gn9JmmmkawyFkXTUW0rHl9_YJDbSrAHOOpvbrYjQ.MqFvu9MO8V_2xAfZ3BNYTA.3a8a732fbafaaa1b6fe5adf35a1a6f97c878cb0bc6122d073c9361332901a967&vjk=d491a556df5c5b75&advn=8937613017401953,indeed ,,,4,
118,Proximo,Data Specialist,22/12/25,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000019b48a7ca85adb0f31b638a1494&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_16e8e12e&cb=1766450514788&jobListingId=1009964036082,glassdoor,,,4,
119,Movit SG,Científico de Datos,22/12/25,"LinkedIn: Yazmin Javier Martinez, Mail: yazmin. javier (a) movit- sg. Com, Cel / WhatsApp: 8125783196",,https://www.glassdoor.com.mx/Empleo/index.htm,glassdoor,,,4,
120,Movit SG,Analista BI,22/12/25,hablé por whatsapp misma reclutadora,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000019b48b435ecb76372f15863125a&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_0dd11e89&cb=1766451329669&jobListingId=1009961195299,glassdoor,,,4,
121,SB ,Research & Insights Analyst,23,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000019b7baa12e790c6aababb5fb960&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_25532fc1&cb=1767306302609&jobListingId=1009976311586,glassdoor,,,4,
122,Afasit,Analista de datos,23,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000019b7baf7a2394316a20f995de01&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_314b8685&cb=1767306656598&jobListingId=1009983162334,glassdoor,,,4,
123,Jhonson Control,Data Analyst,31/12/25,,,https://apply.johnsoncontrols.com/johnsoncontrols/johnson-controls-es/job-data-analyst-ptp/512451/confirmation,glassdoor-sitio de la empresa,,,4,
124,Amazon,"Data Analyst, Worldwide operations",31/12/25,-,,https://www.amazon.jobs/jobs/3149010,sitio de la empresa,1 hora de evaluación con simulaciones y grabaciones a ser evaluadas. ,,4,
125,ICON,Data Analyst,1/1/26,,,https://iconn.csod.com/ux/ats/careersite/1/requisition/24845/application?c=iconn&sq=MOP0034001&jobboardid=0#4,sitio de la empresa,,,4,
126,Pepsico ,Data & Modeling Analyst,1/1/26,,,https://www.pepsicojobs.com/main/jobs/425274/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f&codes=1-INDEED,sitio de la empresa,me uní a la comunidad de talentos para recibir seguimientos y ofertas futuras.,,4,
127,Manuable,Analista de Costos y rentabilidad,1/1/26,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000019b7c52127bafbf6a9a9bdcf0e4&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_dbdec45f&cb=1767317312338&jobListingId=1009974382444,glassdoor,,,4,
128,Autofin,Analista de Datos,2/1/26,,,https://mx.computrabajo.com/trabajo-de-data-en-nuevo-leon#A9001D6BB4827DAC61373E686DCF3405,ct,,,4,
129,Confidencial ,Data Entry,2/1/26,,,https://mx.indeed.com/jobs?q=data&l=Nuevo+León&from=searchOnDesktopSerp&cf-turnstile-response=0._UacxWcrO4j_taz0gpi2QUGoyltBV2TvfYL-AZ6jsK3foAdK86WR_uCKWN9WYTRRjh5DSvsyooadBkjvM7hW7rHW48cOQyk1hZTp1hmQiDj5nuCoMJOUofDsFqlQmrvm4N7tPtj6y4bTOFnl3BP1oAPPJZbCBMg_Dw94BuiELseywkr8T_d5910OQ0uvj5P4pSt5P2tMqDEfUUZFcDwoU3fWOUmrFzL3TEvaVuAVzw5UHrETbB4v4CYoVo5rlNUdKpxK7qRGrbSyU6eCi01VuUgTkBV_QMejjbd17JzY10hBC-U4KVkaIsVENcPj4_PQumgnTnTialmoOjDPwyExmZJ3MUeY0O33tUdt33yTbJ2gK_QOOPm5x1LlSHACFa408g-3pq0qnTcF6_mS3BtypPpGwyAmJFuzQE_Rv3aiZx9fgbGG4i4dgmBFoRBouVH0uOi_p2gdTEq403IXHF5XHAe2uTZpCzYaVj7c3SSWz5esxZCL1D4w_VKbyaV649HSRU27zqrvVmrpTwDrE7R8pY-C8DW5EGP3GmOeyN_w0lTwuKzhLRKoNcPtm1I7_RJRXnY9hleewSEm1yTggMa0-P8THbzzw2704WpzobeyzCMxzZYLrpkWd9y9WW3zRw5EQMbVGomlzVDqLhKRJi9bcBV9-4LP19D2vl32lG17qrvoriFsaXZLysdF8d1kn2FLaVvhEuvmAPUIQMeLrPeKBN3Duk9jf3Ze1rbmvyuaM_09JRmJG3iHQt4VYtGDF4TmUNwFTmTo5Va6VHvAPiNjpWs9kK9RA7hgW83akc2Y8sTv1-ZtfgGmP6ebPoeb6xSLOX5LH6Xj1eYS5egefuvleQCDHFi4GbnVyhIC3BbcXlmqAwvrUQf2egch5ixcWxTSPJVsbR_P-G7ujDLT0F6fItTbvzkuJFAxQ1vQM5fx0zD17-9gPuga7tiSbBzBBjpwEOH7UGdyPEGf4x8cjhb-5w.8GE2D6X6JOqt30I7ID9R-Q.2d42145adcc860a84cd846509c728536caeabf546eddc116a224c5f58a97fb07&vjk=acf5faa05a4f5cc0&advn=2907488015262814,indeed ,,,4,
130,banregio,Científico de datos,2/1/26,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20897830,occ,,,4,
131,Confidencial ,Analista de inteligencia de negocios,2/1/26,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20892684,occ,,,4,
132,Infinitytech servicios integrales de tecnología,científico de datos,2/1/26,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20841207,occ,,,4,
133,Internacional de sistemas,científico de datos,2/1/26,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20839736,occ,,,4,
134,Toreo Motors,Analista de Datos IA,2,"Edwin Suarez, 8122016481, ",,https://www.occ.com.mx/empleos/de-data-analyst/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20876927,occ,,,4,
135,Bliss IT,Científico de Datos,2,,,https://www.occ.com.mx/empleos/de-data-scientist/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20838200,occ,,,4,
136,Autozone,Especialista de análisis,2,"Olinda Cantú, correo: KJPIWX4S75T6UK25A5SO3UHOYOHSXQYLH3B7A7JVONSMRTH5P6TA====@reply.occ.com.mx",,https://www.occ.com.mx/empleos/de-data-scientist/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20880945,occ,,,4,
137,MBS arrendadora SAPI,Data Science y automatizaciones jr,2,,,https://www.occ.com.mx/empleos/de-data-scientist/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20849968,occ,,,4,
138,SkySis,Data Analyst,2,Umm-e-Habiba Hasnain ,,https://www.linkedin.com/jobs/collections/top-applicant/?currentJobId=4346823683&origin=FREEMIUM_TAJ_IN_APP_NOTIFICATION,linkedin,,,4,
139,The Outloud Group,Jr Data Analyst,2,Katelyn Lowe,,https://www.linkedin.com/jobs/collections/top-applicant/?currentJobId=4345697987&origin=FREEMIUM_TAJ_IN_APP_NOTIFICATION,,,,4,
140,,Analista comercial,2,,,https://mx.computrabajo.com/trabajo-de-analista-comercial-en-san-pedro-garza-garcia#21AADC4F1E20DC8B61373E686DCF3405&lc=CandidateHome-Suggested-1-Similars-8-O2Ov3.1,ct,,,4,
141,Open Talent Group - Patrick J McGovern Foundation,Junior Developer,7/1/26,,,https://jobs.lever.co/mcgovern/11b279bb-76df-4a7d-accb-4f6073c7bd4d/thanks,torre/sitio de la empresa,,,5,
142,-OTG - Patrick,technology roles,7/1/26,,,https://jobs.lever.co/mcgovern/1bf64f87-7cf5-4fef-97cb-04813474b2d7,torre/sitio de la empresa,,,5,
143,Agerpoint,General Interest - Decision Making,7/1/26,,,https://torre.ai/post/Odve3q7w-agerpoint-general-interest?utm_source=web&utm_medium=srh_jobs&utm_campaign=dft&utm_term=dcf1svyet&utm_content=card&t=1767823088933&r=G4LYVWZE,torre/sitio de la empresa,,,5,
144,Banregio,Cientifico de Datos,7/1/26,"Martín Ortiz, 8111111111",,https://www.occ.com.mx/empleos/de-data-scientist/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20897830,occ,,,5,
145,Unilink,Quantitative Analyst,7/1/26,,,https://www.occ.com.mx/empleos/de-data-scientist/en-nuevo-leon/en-la-ciudad-de-monterrey/?jobid=20906541,occ,,,5,
146,Argon Sc,Analista BI,7/1/26,,,"https://www.glassdoor.com.mx/job-listing/analista-de-mis-analista-bi-servicios-multiples-especializados-arrgon-sc-JV_KO0,27_KE28,72.htm?jl=1009918418854&cs=1_7e3da767&s=269&t=NS&pos=102&src=GD_JOB_AD&guid=0000019b9a979fa6a9e43fa9c20cae1d&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&jobListingId=1009918418854&ea=1&ao=1136043&vt=w&cb=1767825186886&ctt=1767825192779",glassdoor,,,5,
147,Sigma Alimentos,Analista de rentabilidad y ,8/1/26,,,https://mx.computrabajo.com/empresas/ofertas-de-trabajo-de-sigma-alimentos-corporativo-sa-de-cv-1CDE06E04868C476,ct,,,5,
148,Apex,Application Analyst,8/1/26,,,https://mx.indeed.com/viewjob?from=app-tracker-post_apply-appcard&hl=es&jk=d2c6d9c7fed1e075&tk=1jedapf3bgins800,indeed ,,,5,
149,NielsenQ,Jr Analyst,8/1/26,,,https://www.linkedin.com/jobs/search/?currentJobId=4344454583&keywords=data%20scientist&origin=BLENDED_SEARCH_RESULT_NAVIGATION_JOB_CARD&originToLandingJobPostings=4344454583%2C4330596001%2C4345697987,linkedin,,,5,
150,Banregio,Especialista ML & AI,8/1/26,Katia Carolina,,https://www.linkedin.com/jobs/view/4351345463/?eBP=CwEAAAGboQyQRsC8xPrsX0pEjK2lCjuFQGCMDQaBFy55EP-yJdQbjTfesQ97A-pwcp_Eo-67xihjW4lTKN5dUYyuo2SsrziK3ZOIj-iLq1d_CG92GIop15-HqsjxOM25pZRSF7dPsoJ-eEWdyMi-ssNXZEOuAu-MK_2brH4Nw0ImaY0T7P6x8PnDs8oYUhKKP4cKypumD_1p7nZWJpo2izvhf1FEIyzvjg-Tg95KvnJuYY31iMGF56NhBctxu7wWSAEsMCYD6eqTT7oiokyDPfPrtTgVyhumFb9ZSyFNvi6x4wzAHZe4fb9RLiXz3bFkZHPke_oAVB9vSfZGTCLvGLurR69CTFjX9YSMXPREoA1-fykDJwMswC1QksyYQu1AIgFEfO6VnkuHkjAalcsZLt0tlHjOBJkyXWktWqwpGogzO2pyfEoV4IazpTVpqQSq1tErxhqaQCE-HPpBEKm8pMC8bKP-04jy1aPA9AB5i1w2XKXIljPKWa0D3jFAKrmS5rvs2XsCqBUwQa0prd2TEOXEoiddgTo7LA&refId=PQHJnClWB4ZxrqfTcPOBgw%3D%3D&trackingId=xp%2FH8Pa2ZJepdhK4SATTpw%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3B3yGnENXIRxauAy4msAyzQQ%3D%3D&lici=xp%2FH8Pa2ZJepdhK4SATTpw%3D%3D,linkedin,,,5,
151,Inetum,Desarrollador BI,8/1/26,Alejandra Morales,,https://www.linkedin.com/jobs/view/4343277795/?alternateChannel=search&eBP=CwEAAAGboSD_wZuMaVuzt3rdVycQMhGvXLyLx8MCvxl1rc7GzsRgOTSlZPS5KtmG5V0RhVK3ydjDsBIXrZtChezbyRskrJTFYput2ElQkp9EWvBs_BuUDJritTM35Iyp2nA8BbJr0kjOIyWqftUSFnCAYc9VGEqgT9Ny1k4QHJjz4yigQgJfFFGJ0AZfWGiKn2Vk1EAN_M7ritrosy8J8zv_QlGYOqiR9zKBzoAonETECrR103D4yExiP8aMORalYLhYKFGZtYGd4QMUYYzxwAYVYhPpabnYvg7TqQrL5OZOhc-eepN0oXhS35OR9haAiIb0krBgorUznt0wyMSbLGKM5M6KG6LeT2jv7eY7yDV_V-hHW5zdFeLNEidf_Kw5NRAvvWynly3sSlzxRgA6rxjmQCUT7WujqvJn3OvaVQgEsSsdK1eku91j06uP5Idf317NDh6I9pdebz9VPIfhuMSQE0sZxkPVbVIBW5cVqXw&refId=Ko%2Fun7yAmY%2Bq41jXMcrmIw%3D%3D&trackingId=LEWgg9sfWVzbgsxFtZPYIw%3D%3D&trk=d_flagship3_postapply_default_confirmation&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BN0gPOHTeS6KZjPzOYKatlg%3D%3D,linkedin,,,5,
152,Braintrust,Biology Experts,11/1/26,,,https://app.usebraintrust.com/jobs/16373,braintrust-freelance,,,5,
153,Boaz Onyango,AI trainer Specialist,11/1/26,,,https://torre.ai/post/PW9Okg1d,torre AI,"Tomar Examenes, freelance, por checar rate. ",,5,
154,Corning,DS JR,14/1/26,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=0000019bbe4b5123a9fc7caa08f61334&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_404900aa&cb=1768424165912&jobListingId=1009985644520,glassdoor,,,5,
155,Nadro,Data Center,14/1/26,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000019bbe56328da0701a6a7a7097e2&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_96667ca6&cb=1768424879046&jobListingId=1009985461876,glassdoor,,,5,
156,Sociedad Mexicana de Parrilleros,JR AI/ML Engineer,14/1/26,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000019bbe56328da0701a6a7a7097e2&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_988205b3&cb=1768424879046&jobListingId=1009993493475,glassdoor,,,5,
157,Securitas Technology,Analista de información,14/1/26,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000019bbe6268c892b822f3d0cfd9ca&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_149ba71a&cb=1768425679326&jobListingId=1009935187193,glassdoor,,,5,
158,Pyramid Consulting,Junior ETL developer,14/1/26,,,https://hireline.io/mx/empleos/junior-etl-developer-remoto/113016,hireline,,,5,
159,Maxitransfer,Business Analyst Jr,15/1/26,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000019bc28db6cfab703be89b93fb34&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_9010aad6&cb=1768495626303&jobListingId=1009985571482,glassdoor,,,5,
160,Nazan Comercializadora de Calzado ,Ingeniero de Datos y Análisis,15/1/26,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000019bc28db6cfab703be89b93fb34&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_9010aad6&cb=1768495626303&jobListingId=1009985571482,glassdoor,,,5,
161,Caliente Casino,Analista de Datos,15/1/26,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000019bc2992ff8ad646094b1801ffa&src=GD_JOB_AD&t=NS&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_fa395c36&cb=1768496378369&jobListingId=1009996509572,glassdoor,,,5,
162,FEMSA Salud,Analista Replenishment,15/1/26,,,https://careers.femsa.com/FemsaSalud/job/Monterrey-ANALISTA-REPLENISHMENT-%28ABASTO%29/1329220062/,femsa; sitio de la empresa,,,5,
163,OXXO ,Anlista Operaciones Planogramas,15/1/26,,,https://careers.femsa.com/OXXO/job/Monterrey%2C-Nuevo-Le%C3%B3n%2C-M%C3%A9xico-ANALISTA-OPERACI%C3%93N-PLANOGRAMAS/1328468562/,femsa,,,5,
164,Mindrift,Statistician with Python,15/1/26,,,https://www.linkedin.com/jobs/view/4346232213/?eBP=JOBS_AUCTION_SERVICE_FAILED&refId=1jnV%2BQx1g37K1MVPAAhHwQ%3D%3D&trackingId=f06c9i%2Fws0TIY15HZRET1w%3D%3D&trk=flagship3_jobs_discovery_jymbii&lipi=urn%3Ali%3Apage%3Ad_flagship3_jobs_discovery_jymbii%3Bo8eLsC7oR9%2B9TVbGoIai5Q%3D%3D&lici=f06c9i%2Fws0TIY15HZRET1w%3D%3D,linkedin,,,5,
165,Launchpad,Data Scientist,15/1/26,,,https://job-boards.greenhouse.io/launchpadtechnologiesinc/jobs/4619191006?gh_src=68a768c26us,greenhouse,,,5,
166,xpertal,Analista perfiles Jr,15/1/26,,,https://career19.sapsf.com/portalcareer?company=centrodese&correlation_Id=5871273019&lang=es_MX&clientId=jobs2web&socialApply=false&career_ns=&site=&jobPipeline=RCM+Redirect&navBarLevel=MY_PROFILE&isInternalUser=false&showAlertCreated=false&_s.crb=vpWq%252bohJ80pAxnY67kUERmoZf%252b9v8xH%252fxKDltzPCWxw%253d,sitio de la empresa,,,5,
167,GroWrk ,Purchase Analyst Jr,15/1/26,,,https://growrk.factorialhr.com/job_posting/purchases-analyst-jr-277405,sitio de la empresa,,,5,
168,Bayforce,Data Operations Analyst,16/1/26,Liza de la Cruz,,https://www.linkedin.com/jobs/view/4360726988,linkedin,,,5,
169,Planen,Analista de Datos Jr,19/1/26,,,https://mx.indeed.com/rc/clk?jk=dd9bdbe32f3d3479&from=hp&tk=1jfc2sd21gnri805&bb=yBgDgmHME_1-7P41yJ7DP4p2Rg4YOb6_N9D6ppD3hCkkF1iYO_t0SNU4pfi5SwjoyQLq_tDozaSAMw5DqYYY5U-GPj9A9SbMYzIPLt74of_7YNhs2_x2KTFueV1oUwHLLpK75s4-878%3D&xkcb=SoDV67M3osN-dGy6A50PbzkdCdPP,indeed ,,,5,
170,Grupo Casco,Analista de Datos,19/1/26,,,https://mx.indeed.com/rc/clk?jk=dee53954eb622ffe&from=hp&tk=1jfc3apfjg1j5800&bb=5zKGJLQZGJQb8A9hTd1RLh1KMbN-xjGR7WvhPDBAQUtH4yP2yuOtJSBwKDSVAVkFY2Yda4fufF7wbeBuWh3M-dr4FpL_3uOA5vIDjA7f7N5MvbQlron_mjqYpMvycCOPM5VuC01wrQbFbhIWifmnEw%3D%3D&xkcb=SoDs67M3osOk5zyWiB0KbzkdCdPP,indeed ,,,5,
171,NeoPerformance,Jr. Marketing Data Analyst,19/1/26,"Megaly hernandez, Luis Castellanos",,https://mx.indeed.com/rc/clk?jk=36d04f065a4d85b4&from=hp&tk=1jfc406vkgnja800&bb=8GxNxjcpEaYwheLIrgLaAYK9lg6DXdHvTx4FbjstMGFxoIVDNnArp6Xi-LF1EXQNK2Iw26uv5-qO1_TmC_rft0cDRHbpEIJEbZLKYiWBW085u6h_iRMAL7m5-Vkmbrl5o31Wm-DqVks%3D&xkcb=SoCc67M3osAPMPy6j50LbzkdCdPP,indeed ,,,5,"Desde aqui al menos, auditoria de la evidencia de busqueda de las personas. "
172,IDT,Marketing Data Scientist,20/1/26,,,https://www.glassdoor.com.mx/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000019bd9e75ecb92c70b31bf466401&src=GD_JOB_AD&t=SR&vt=w&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ea=1&cs=1_7fa56baf&cb=1768887378012&jobListingId=1009888442682&jrtk=5-yul1-0-1jfcuenplj0ot801-9650d41a7490599a,glassdoor,,,5,
173,unilever,Analista de congeladores,20/1/26,"Graciela Morales Rodríguez, 300+
	sol garcía (CDMX)
	Jiovanii Ramirez (CDMX)
	Isabella Solsona (LATAM)
	Laura María García Rodríguez (LATAM)
	Juan Pablo Cuevas (contactar prio, exatec) 
	María Vidal (LATAM)
	Isabel Cortes
	Mariana Montiel 
	Daniela Arellano
	Natalia Ramírez Salgado
	Viviana Mata Hernández",,https://www.linkedin.com/jobs/view/4360836619/?trk=flagship3_job_home_savedjobs&refId=a45c69e0-956c-47d0-afe2-7d72a50a588b&trackingId=mRTI1sgAS8eHFLg4h2zvTQ%3D%3D,linkedin,,,5,
174,Dematic,Supplier Data Analyst,20/1/26,,,https://www.linkedin.com/jobs/view/4312877556/?trk=flagship3_job_home_savedjobs&refId=a45c69e0-956c-47d0-afe2-7d72a50a588b&trackingId=V8xWFXtYREO24id1IwPw7w%3D%3D,linkedin,,,5,
175,Benavides,Analista de Mercados,22/1/26,karla.villarreal@benavides.com.mx,,,linkedinpost,,,5,
176,Thermofisher,Database Analyst,23/1/26,,,https://jobs.thermofisher.com/global/en/job/R-01330643/Argus-Database-Programmer-Analyst,thermofisher site; email ,,,5,
177,Corning,Data Scientist,23/1/26,,,https://mx.indeed.com/rc/clk?jk=290262b9a0fb756d&bb=xuwbVVlpCpqmVq0ucmU5c3C_HGviE4ymUDVGSPdje4XgAKyMuSIV93FTzPe9aynTTlyGPJw3-KIaI5ZHrtdfR3TtiDTbuiDahC8tO_WrzOvx8wORj81UHs5lM4sSJMlLW7yDNR8OFDfMZmKseLRblg%3D%3D&xkcb=SoBL67M3o5UhXjAREL0KbzkdCdPP&fccid=fb75933edd65f432&vjs=3,indeed,,,5,
178,Banorte,Especialista de Datos estrategia Jr,23/1/26,,,https://mx.indeed.com/rc/clk?jk=9c6e32e475fe28a0&bb=kF4s4TtQM_zy58i3k_lFEN_a4B5rsFPBFA3Z4LTninvYxWkub-zYMHJZ628g2jaUMOYH1htEMHdYL8jnRdXlQ2chiFDrOKqUvNUhiaqgjqcAg8d6N_kxMSFpFhfrM5ha2kFsh4jGXAwBuAEBYuTVLFkMWFBk03kz&xkcb=SoBD67M3o7iA9oy7SB0LbzkdCdPP&fccid=12e17ece3aa8f9b9&vjs=3,indeed ,En los siguientes días se pondrán en contacto. ,,5,
179,Prosperia,Analista de datos,26/1/26,,,https://mx.computrabajo.com/trabajo-de-analyst-en-nuevo-leon?p=3#43AD62F680C918A861373E686DCF3405,ct,,,5,
